<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,-,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,91.32 ± 0.57 / 95.62 ± 0.29,70.09 ± 1.12 / 49.72 ± 1.88,31.55 ± 1.96 / 65.48 ± 0.98,65.15 ± 0.87 / 48.87 ± 1.70,-,47.36 ± 0.71 / 60.56 ± 0.53,15.8.1,15.8.1,15.8.1,15.8.1,-,15.8.1
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,-,?,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,90.66 ± 0.75 / 95.26 ± 0.39,59.89 ± 1.74 / 44.68 ± 1.42,38.30 ± 1.73 / 68.93 ± 0.89,65.96 ± 0.73 / 52.55 ± 1.07,-,54.73 ± 1.45 / 66.06 ± 1.10,15.8.2,15.8.2,15.8.2,15.8.2,-,15.8.2
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,-,N/A,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,90.57 ± 1.07 / 95.16 ± 0.58,57.85 ± 1.73 / 42.05 ± 2.15,0.00 ± 0.00 / 33.36 ± 0.27,72.03 ± 1.63 / 55.13 ± 2.32,-,12.06 ± 1.87 / 28.55 ± 1.08,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0
<a href='https://hf.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct</a>,📝,-,?,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,85.18 ± 1.00 / 92.29 ± 0.57,-,-,-,-,-,15.10.0,-,-,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b</a>,🧠,-,N/A,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,88.87 ± 0.75 / 94.34 ± 0.42,-,-,-,-,-,15.10.0,-,-,-,-,-
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,-,?,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,84.33 ± 1.76 / 91.93 ± 0.99,36.96 ± 1.69 / 26.45 ± 2.30,0.32 ± 0.62 / 33.32 ± 0.28,56.44 ± 1.14 / 39.26 ± 1.58,-,0.25 ± 1.12 / 25.10 ± 0.91,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,-,?,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,90.78 ± 0.87 / 95.31 ± 0.46,57.33 ± 1.97 / 34.77 ± 2.80,8.24 ± 3.31 / 49.38 ± 4.52,71.18 ± 0.82 / 50.46 ± 1.27,-,25.33 ± 1.18 / 43.46 ± 0.85,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,-,?,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,85.04 ± 1.33 / 92.33 ± 0.75,36.81 ± 2.09 / 21.56 ± 1.50,5.47 ± 1.53 / 51.38 ± 1.36,71.14 ± 0.62 / 53.77 ± 1.09,-,8.25 ± 0.87 / 31.25 ± 0.68,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,-,?,32296476672.0,256000.0,131072.0,✗,✗,(✓),✗,90.99 ± 0.73 / 95.45 ± 0.38,62.28 ± 2.04 / 33.08 ± 2.33,15.29 ± 1.86 / 56.30 ± 1.27,68.52 ± 0.69 / 51.24 ± 1.12,-,16.36 ± 0.66 / 36.41 ± 0.44,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,-,?,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,87.71 ± 0.85 / 93.65 ± 0.46,46.06 ± 1.22 / 28.45 ± 1.13,4.55 ± 1.65 / 48.76 ± 2.09,59.23 ± 1.72 / 39.32 ± 1.98,-,14.40 ± 1.24 / 34.91 ± 0.96,15.16.0,15.16.0,15.16.0,15.16.0,-,15.16.0
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,-,?,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,91.43 ± 0.54 / 95.67 ± 0.28,55.76 ± 1.54 / 30.80 ± 2.84,9.67 ± 1.80 / 51.17 ± 2.91,70.91 ± 0.88 / 54.17 ± 1.09,-,13.60 ± 1.25 / 35.02 ± 1.06,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,-,N/A,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,88.37 ± 0.69 / 94.02 ± 0.37,47.81 ± 2.92 / 27.33 ± 1.40,8.79 ± 3.70 / 39.41 ± 3.40,72.47 ± 1.03 / 50.88 ± 1.91,-,8.67 ± 1.16 / 31.39 ± 0.80,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,-,15.8.2.dev0
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,-,?,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,91.99 ± 0.74 / 95.95 ± 0.38,48.48 ± 1.75 / 24.77 ± 1.43,18.11 ± 2.48 / 53.39 ± 2.60,60.49 ± 1.51 / 37.69 ± 2.26,-,38.44 ± 1.36 / 53.75 ± 1.04,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,-,N/A,394781696.0,50368.0,8192.0,✓,✗,(✓),✗,59.67 ± 6.18 / 79.44 ± 3.07,36.76 ± 3.11 / 36.30 ± 2.49,1.36 ± 0.93 / 47.05 ± 3.39,27.84 ± 0.85 / 13.66 ± 0.86,-,-,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,-,-
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,-,?,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,79.86 ± 1.15 / 89.89 ± 0.58,41.95 ± 2.61 / 27.07 ± 3.74,8.13 ± 1.05 / 52.76 ± 1.06,62.61 ± 0.97 / 38.90 ± 1.95,-,4.32 ± 0.62 / 28.30 ± 0.57,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,-,0.4,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,69.74 ± 2.21 / 84.15 ± 1.43,27.88 ± 2.29 / 18.28 ± 1.37,0.63 ± 1.74 / 45.74 ± 1.65,44.58 ± 2.11 / 22.29 ± 2.01,-,5.02 ± 1.15 / 28.33 ± 0.86,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,-,N/A,68977172480.0,32032.0,8192.0,✗,✗,(✓),✗,0.00 ± 0.00 / 33.16 ± 0.42,54.62 ± 1.80 / 31.57 ± 2.39,0.00 ± 0.00 / 33.30 ± 0.27,0.24 ± 0.19 / 0.07 ± 0.10,-,2.25 ± 2.50 / 26.16 ± 0.72,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-,N/A,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,59.29 ± 4.07 / 79.16 ± 2.18,32.03 ± 3.59 / 32.29 ± 3.84,1.76 ± 2.19 / 48.56 ± 1.61,25.37 ± 1.41 / 11.23 ± 1.27,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-,N/A,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,60.10 ± 6.21 / 78.92 ± 3.68,35.23 ± 4.27 / 33.82 ± 4.04,-0.74 ± 1.28 / 41.73 ± 4.48,23.77 ± 2.39 / 10.15 ± 1.52,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-,N/A,93990500.0,65636.0,512.0,✓,✗,(✓),✓,66.83 ± 3.38 / 83.33 ± 1.71,33.01 ± 2.59 / 35.42 ± 3.30,4.49 ± 1.97 / 51.09 ± 1.51,30.65 ± 0.52 / 14.75 ± 0.78,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-,N/A,561192082.0,250002.0,512.0,✓,✗,(✓),✓,90.45 ± 0.70 / 95.21 ± 0.35,83.33 ± 1.38 / 80.64 ± 1.78,30.09 ± 14.89 / 60.18 ± 10.03,60.87 ± 1.78 / 38.15 ± 1.85,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-
<a href='https://hf.co/Finnish-NLP/Ahma-2-4B-Instruct'>Finnish-NLP/Ahma-2-4B-Instruct</a>,📝,-,0.46,3880099328.0,262144.0,131072.0,✓,✗,(✓),✗,91.13 ± 0.57 / 95.54 ± 0.29,29.39 ± 1.97 / 20.60 ± 1.01,1.10 ± 2.06 / 37.50 ± 2.00,25.23 ± 0.78 / 0.34 ± 0.26,-,18.32 ± 2.07 / 37.16 ± 1.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0
<a href='https://hf.co/Finnish-NLP/roberta-large-finnish-v2'>Finnish-NLP/roberta-large-finnish-v2</a>,🔍,-,N/A,354313218.0,50265.0,514.0,✓,✗,(✓),✗,81.66 ± 2.09 / 90.67 ± 1.16,78.11 ± 2.07 / 76.88 ± 1.54,7.18 ± 4.44 / 52.99 ± 2.32,35.41 ± 0.90 / 20.56 ± 1.20,-,-,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
<a href='https://hf.co/Finnish-NLP/roberta-large-finnish'>Finnish-NLP/roberta-large-finnish</a>,🔍,-,N/A,354313218.0,50265.0,514.0,✓,✗,(✓),✗,80.25 ± 3.54 / 89.99 ± 1.82,77.14 ± 1.38 / 76.18 ± 1.21,14.95 ± 9.22 / 55.94 ± 4.47,39.70 ± 3.56 / 23.55 ± 3.37,-,-,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-,N/A,108867577.0,84985.0,512.0,✓,✗,(✓),✗,62.52 ± 2.40 / 81.24 ± 1.20,64.81 ± 1.35 / 64.20 ± 1.48,0.95 ± 1.87 / 42.64 ± 4.31,30.20 ± 0.31 / 16.84 ± 0.64,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,-,?,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,61.14 ± 3.71 / 77.91 ± 3.20,26.92 ± 1.83 / 14.58 ± 1.26,1.68 ± 1.61 / 41.16 ± 3.77,44.99 ± 2.77 / 27.58 ± 2.79,-,0.28 ± 1.06 / 25.51 ± 0.79,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,-,N/A,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,73.00 ± 2.38 / 86.25 ± 1.33,26.52 ± 1.53 / 16.79 ± 1.75,0.22 ± 2.10 / 43.01 ± 2.96,38.86 ± 3.40 / 24.06 ± 3.01,-,1.19 ± 0.50 / 25.94 ± 0.28,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,-,?,134516160.0,49154.0,8192.0,✓,✗,(✓),✗,-0.35 ± 1.44 / 34.17 ± 0.88,10.97 ± 1.34 / 10.98 ± 1.14,0.00 ± 0.00 / 33.36 ± 0.27,5.93 ± 1.86 / 0.90 ± 0.90,-,0.00 ± 0.00 / 22.00 ± 0.63,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,-,?,10292777472.0,151552.0,65536.0,✓,✗,(✓),✗,91.54 ± 0.55 / 95.73 ± 0.28,49.21 ± 1.31 / 22.97 ± 0.95,31.95 ± 1.12 / 65.72 ± 0.81,10.11 ± 0.71 / 0.00 ± 0.00,-,0.00 ± 0.00 / 25.72 ± 0.28,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,-,15.13.0.dev0
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,-,?,28410968576.0,256000.0,8192.0,✓,✗,(✓),✗,92.05 ± 0.82 / 95.96 ± 0.43,50.35 ± 1.08 / 26.48 ± 1.45,35.07 ± 2.28 / 65.78 ± 1.65,64.41 ± 0.96 / 45.90 ± 1.76,-,55.07 ± 1.07 / 66.25 ± 0.79,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,-,N/A,30677882880.0,131072.0,65536.0,✓,✗,✗,✓,93.83 ± 0.44 / 96.91 ± 0.22,53.64 ± 2.14 / 40.95 ± 3.48,0.00 ± 0.00 / 33.36 ± 0.27,70.37 ± 1.71 / 51.31 ± 2.86,-,10.69 ± 1.60 / 27.88 ± 0.49,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,-,?,8190735360.0,151936.0,131072.0,✓,✗,(✓),✓,85.53 ± 0.77 / 92.54 ± 0.43,55.78 ± 1.91 / 35.44 ± 1.38,15.54 ± 1.10 / 57.08 ± 0.79,60.10 ± 0.51 / 42.79 ± 0.74,-,18.05 ± 1.55 / 38.29 ± 1.13,15.9.1,15.9.1,15.9.1,15.9.1,-,15.9.1
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B</a>,🤔,-,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,91.11 ± 0.56 / 95.49 ± 0.30,54.69 ± 2.15 / 35.33 ± 1.44,26.47 ± 2.36 / 63.00 ± 1.16,58.16 ± 1.73 / 37.64 ± 2.38,-,48.19 ± 1.80 / 60.49 ± 1.53,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,-,?,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,76.09 ± 2.11 / 87.73 ± 1.12,29.19 ± 0.86 / 19.34 ± 0.68,3.65 ± 1.90 / 48.64 ± 1.93,24.18 ± 0.83 / 1.13 ± 0.38,-,0.57 ± 0.90 / 25.77 ± 0.29,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,-,?,1777088000.0,151936.0,131072.0,✓,✗,(✓),✓,34.07 ± 2.58 / 66.21 ± 1.53,10.15 ± 1.38 / 8.86 ± 1.24,-1.10 ± 1.90 / 36.01 ± 0.67,7.10 ± 0.53 / 0.05 ± 0.05,-,0.40 ± 1.04 / 25.76 ± 0.32,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,-,?,14770033664.0,152064.0,131072.0,✓,✗,(✓),✓,49.45 ± 6.38 / 68.10 ± 4.99,43.84 ± 1.97 / 23.61 ± 1.19,0.23 ± 1.95 / 33.78 ± 0.39,26.83 ± 1.15 / 6.80 ± 1.26,-,9.78 ± 1.37 / 30.34 ± 0.84,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,-,?,32763876352.0,152064.0,131072.0,✓,✗,(✓),✓,87.06 ± 1.19 / 93.38 ± 0.64,49.43 ± 2.11 / 25.82 ± 1.23,15.95 ± 1.60 / 57.53 ± 0.98,43.38 ± 1.63 / 26.60 ± 2.43,-,19.24 ± 1.86 / 36.73 ± 1.58,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,-,?,7615616512.0,152064.0,131072.0,✓,✗,(✓),✓,75.62 ± 1.48 / 87.63 ± 0.76,31.01 ± 1.43 / 21.00 ± 0.90,0.72 ± 1.45 / 45.06 ± 1.69,30.45 ± 1.17 / 10.03 ± 1.49,-,3.24 ± 1.51 / 27.42 ± 0.89,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,-,N/A,23575680000.0,131072.0,32768.0,✓,✗,(✓),✗,91.65 ± 0.80 / 95.77 ± 0.42,68.29 ± 1.85 / 43.08 ± 4.56,35.93 ± 2.58 / 66.17 ± 2.50,72.10 ± 1.38 / 54.85 ± 2.56,-,42.13 ± 1.40 / 55.45 ± 1.18,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,-,N/A,277455362.0,250002.0,514.0,✓,✗,(✓),✗,77.74 ± 3.31 / 88.84 ± 1.68,73.75 ± 1.19 / 72.13 ± 0.90,0.02 ± 1.47 / 37.99 ± 4.31,27.25 ± 2.15 / 13.68 ± 1.68,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,-,?,?,?,200000.0,✓,✗,✗,✓,92.47 ± 1.45 / 96.20 ± 0.73,46.49 ± 2.14 / 25.76 ± 1.04,25.94 ± 3.64 / 62.68 ± 1.91,60.02 ± 0.71 / 30.50 ± 1.33,-,58.33 ± 2.47 / 68.98 ± 1.95,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,-,?,?,?,200000.0,✓,✗,✗,✓,91.65 ± 0.98 / 95.73 ± 0.50,52.56 ± 1.94 / 33.50 ± 1.89,44.19 ± 2.53 / 70.21 ± 1.41,58.32 ± 0.56 / 35.96 ± 0.82,-,78.49 ± 2.01 / 83.91 ± 1.49,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,-,?,?,?,200000.0,✓,✗,✗,✓,92.72 ± 0.96 / 96.28 ± 0.51,48.69 ± 1.79 / 31.20 ± 1.43,51.57 ± 2.56 / 75.00 ± 1.36,59.74 ± 0.80 / 39.77 ± 1.15,-,77.15 ± 1.94 / 82.81 ± 1.48,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,-,15.13.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,-,?,?,?,200000.0,✓,✗,✗,✓,91.65 ± 0.98 / 95.73 ± 0.50,61.63 ± 1.84 / 50.36 ± 2.40,37.22 ± 4.09 / 68.33 ± 2.07,59.16 ± 0.79 / 42.29 ± 1.07,-,79.46 ± 1.79 / 84.61 ± 1.35,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,-,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,92.73 ± 0.72 / 96.33 ± 0.37,67.60 ± 1.81 / 43.66 ± 2.86,33.45 ± 1.93 / 65.53 ± 1.79,65.38 ± 1.07 / 45.87 ± 2.19,-,64.36 ± 1.13 / 73.26 ± 0.85,15.13.0,15.13.0,15.13.0,15.13.0,-,15.13.0
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,-,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,37.85 ± 6.96 / 65.10 ± 5.00,27.17 ± 2.49 / 18.66 ± 1.93,1.74 ± 1.79 / 39.11 ± 3.99,25.54 ± 3.69 / 15.52 ± 2.57,-,0.50 ± 1.28 / 22.30 ± 0.56,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/common-pile/comma-v0.1-2t'>common-pile/comma-v0.1-2t</a>,🧠,-,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,57.95 ± 2.22 / 78.29 ± 1.51,26.56 ± 4.32 / 20.58 ± 2.52,0.77 ± 1.54 / 34.42 ± 1.58,31.89 ± 4.60 / 17.10 ± 2.34,-,1.28 ± 0.93 / 24.56 ± 1.10,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,-,N/A,111243522.0,32000.0,512.0,✓,✗,(✓),✗,71.23 ± 2.33 / 85.58 ± 1.17,62.44 ± 1.38 / 63.31 ± 1.07,-0.89 ± 1.78 / 43.50 ± 2.57,33.80 ± 1.22 / 18.28 ± 0.94,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,-,N/A,4624642.0,32000.0,512.0,✓,✗,(✓),✗,46.84 ± 3.04 / 73.07 ± 1.58,0.00 ± 0.00 / 0.00 ± 0.00,0.19 ± 1.64 / 38.57 ± 2.93,14.50 ± 1.40 / 1.08 ± 0.34,-,-,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,-,?,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,91.99 ± 0.83 / 95.94 ± 0.43,50.63 ± 1.43 / 26.11 ± 1.50,34.52 ± 2.40 / 65.56 ± 1.58,64.60 ± 1.01 / 45.91 ± 1.81,-,54.82 ± 1.03 / 66.03 ± 0.77,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.28 ± 1.22 / 93.91 ± 0.64,62.62 ± 1.96 / 44.31 ± 2.46,53.35 ± 2.48 / 75.99 ± 1.28,58.40 ± 0.78 / 28.18 ± 1.09,-,86.42 ± 1.03 / 89.77 ± 0.76,15.13.0,15.13.0,15.13.0,15.13.0,-,15.13.0
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,-,N/A,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,93.12 ± 0.56 / 96.53 ± 0.29,42.28 ± 2.18 / 32.97 ± 2.03,32.59 ± 3.14 / 63.05 ± 3.17,77.11 ± 1.10 / 61.05 ± 1.53,-,39.22 ± 1.96 / 52.89 ± 1.79,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/google/gemma-2b'>google/gemma-2b</a>,🧠,-,N/A,2506172416.0,256000.0,8192.0,✓,✗,(✓),✓,89.49 ± 0.91 / 94.72 ± 0.47,-,-,-,-,-,15.8.2,-,-,-,-,-
